Date,Content,Probability,Sentiment
2022-04-22, Concern googl closes and splits their stock into goog,0.9051036834716797,NEGATIVE
2022-04-22,the professional way out of this involves pathetically devaluing yourself till you're pulled off a role or project (or perhaps bandying about a trendy alphabet of mental health diagnoses which seem almost like a given amongst folks with similar proclivities &amp; interests),0.999840259552002,NEGATIVE
2022-04-22,$GOOG concerned about what? it's cheap. buy! hold for the next decade. no worries ⚡,0.999268114566803,POSITIVE
2022-04-22,$GOOG 2k would make a nice BTD - bad look this week 😃 ,0.999786913394928,NEGATIVE
2022-04-22,  thank you for this,0.9154182076454163,POSITIVE
2022-04-22,Seen way to many videos about teachers and public schools coming out/promoting the alphabet agenda. I always remember this passage:,0.9920646548271179,POSITIVE
2022-04-22,              Thank god for the alphabet. ,0.9420949816703796,POSITIVE
2022-04-22, Alphabet crowd,0.7047594785690308,NEGATIVE
2022-04-22, Come back with a reccomend for eyes wide shut.,0.9770376682281494,NEGATIVE
2022-04-22, the only letters in the alphabet they like is PDF,0.9200929403305054,POSITIVE
2022-04-22,You my favorite Alphabet dey just wanna C you 💙,0.9975161552429199,POSITIVE
2022-04-22,Like if you would kiss me twitter.com/Jethx/status/1…,0.8894703984260559,NEGATIVE
2022-04-22,   Z is an adaptation and westernization of the Russian letter 3 which is the Z sound in the Russian alphabet. It’s used in the word “for” which the Russians are turning into slogans such as “for victory” “for our brothers” for propaganda. “Za” in Russian means “for”,0.9586364030838013,NEGATIVE
2022-04-22,Earnings that will move the markets in the coming week Tue - $UPS $GOOG $MSFT $V Wed - $FB $PYPL $NOW Thu - $AAPL $AMZN $TWTR nyugrad.substack.com,0.9590211510658264,NEGATIVE
2022-04-22," is a clueless fool. ""Don't say gay"" is an alphabet people PSYOPS.... Is he really that stupid? Yes yes he is. #LetsGoBrandon twitter.com/charliespierin…",0.9999699592590332,NEGATIVE
2022-04-22,"$GOOG~♦~All that you need to know, Shorts haven't covered a single share:♦-discord.gg/sWBBRj8TyY",0.9992307424545288,NEGATIVE
2022-04-22,$AMZN $GOOG $AAPL $NVDA $MSFT idiot. Another conspiracy theorist. That crap isn’t welcomed here ️,0.9999881982803345,NEGATIVE
2022-04-22, All hopes on $AAPL $MSFT and $GOOG earnings... Or they wouldnt matter?,0.6892897486686707,NEGATIVE
2022-04-22,The year-to-date return for $GOOG is -17.32% as of 2022-04-22. stocksytd.com #Stonks #Stocks,0.9919766783714294,NEGATIVE
2022-04-22,  #AmberHeardIsAnAbuser is a D list actress (do they go further down the alphabet for this?) and she's really only known for what she did to #JohnnyDepp,0.9845240712165833,NEGATIVE
2022-04-22,Alphabet-owned Intrinsic is acquiring fellow robotic software firm Vicarious tcrn.ch/3k4PBCH #SocialMediaMarketing #Automation,0.837378978729248,NEGATIVE
2022-04-22, an aush for every letter of the alphabet,0.9975730776786804,POSITIVE
